"Cycle","Susceptible","FP","Exposed","Asympt","Symptoms","TP","Recovered","Dead","Superspreader Event","Persons Tested","Total TPs","Total FPs","Total TNs","Total FNs","Day","True Positive","False Positive","Total","New Infections","Cumulative Infections","%Cumulative Infections"
20,998.303856181457,0,0.272934982597503,0.958494177423336,0,0,0.464714658522616,0,0,1.10943370009142e-13,0,0,1.10841496567857e-13,1.0484366126845e-16,7,0,0,0,0.0339173194314624,1.69614381854345,0.00169614381854346
21,998.269682308834,0,0.276782746043188,0.965998996662185,0,0,0.487535948461266,0,0,1.10940406900948e-13,0,0,1.1083775824937e-13,1.05611759771562e-16,7.33333333333333,0,0,0,0.0341738726231853,1.73031769116664,0.00173031769116664
22,998.235242040566,0,0.28046937586211,0.973752659000424,0,0,0.510535924572271,0,0,1.10937446041237e-13,0,0,1.10833992670473e-13,1.06414230474454e-16,7.66666666666667,0,0,0,0.0344402682681647,1.76475795943481,0.00176475795943481
23,998.200526532664,0,0.284021619779036,0.981731335866045,0,0,0.533720511691329,0,0,1.10934483232801e-13,0,0,1.10830198608451e-13,1.07247432785916e-16,8,0,0,0,0.0347155079016047,1.79947346733641,0.00179947346733641
24,998.165527792079,0,0.287462402610634,0.989914738003413,0,0,0.557095067307187,0,0,1.10931514848259e-13,0,0,1.1082637497057e-13,1.08108262231224e-16,8.33333333333333,0,0,0,0.0349987405848251,1.83447220792123,0.00183447220792123
25,998.130238550403,0,0.290811377329909,0.998285606436259,0,0,0.580664465831078,0,0,1.10928537747644e-13,0,0,1.10822520774952e-13,1.0899407330745e-16,8.66666666666667,0,0,0,0.0352892416760119,1.86976144959725,0.00186976144959725
26,998.094652155743,0,0.294085396731518,1.00682927677999,0,0,0.604433170746227,0,0,1.10925549207868e-13,0,0,1.10818635134189e-13,1.09902613454717e-16,9,0,0,0,0.0355863946604878,1.90534784425773,0.00190534784425773
27,998.058762480143,0,0.297298917138697,1.01553330633476,0,0,0.628405296383845,0,0,1.10922546862349e-13,0,0,1.10814717241326e-13,1.10831966541742e-16,9.33333333333333,0,0,0,0.0358896755995693,1.9412375198573,0.0019412375198573
28,998.022563840323,0,0.300464343943923,1.02438715491363,0,0,0.652584660820387,0,0,1.10919528649331e-13,0,0,1.10810766357854e-13,1.11780504494784e-16,9.66666666666667,0,0,0,0.0361986398206371,1.97743615967794,0.00197743615967794
29,997.986050929797,0,0.303592327364471,1.03338191166342,0,0,0.676974831175474,0,0,1.10916492767647e-13,0,0,1.10806781803435e-13,1.12746845896656e-16,10,0,0,0,0.0365129105254284,2.01394907020337,0.00201394907020337
30,997.949218760757,0,0.306692015586313,1.04251006125162,0,0,0.701579162405555,0,0,1.10913437638855e-13,0,0,1.10802762947096e-13,1.13729820551537e-16,10.3333333333333,0,0,0,0.0368321690401166,2.05078123924349,0.00205078123924349
31,997.912062614286,0,0.309771271436193,1.05176528374728,0,0,0.726400830530594,0,0,1.10910361874828e-13,0,0,1.10798709199699e-13,1.14728439155989e-16,10.6666666666667,0,0,0,0.0371561464705814,2.08793738571407,0.00208793738571407
32,997.874577997726,0,0.312836857836986,1.06114228334145,0,0,0.751442861096005,0,0,1.10907264250008e-13,0,0,1.10794620007488e-13,1.15741867340493e-16,11,0,0,0,0.0374846165603696,2.12542200227444,0.00212542200227444
33,997.836760608148,0,0.315894596544241,1.07063664175171,0,0,0.776708153556516,0,0,1.10904143677656e-13,0,0,1.10790494846556e-13,1.16769403451764e-16,11.3333333333333,0,0,0,0.0378173895780317,2.16323939185247,0.00216323939185247
