,day,susceptible,exposed,infected asymptomatic,infected symptomatic,recovered,dead
100,100,4841,23,55,8,73,0
101,101,4839,24,54,9,74,0
102,102,4837,21,58,9,75,0
103,103,4833,24,56,10,77,0
104,104,4829,27,56,10,78,0
105,105,4823,28,60,11,78,0
106,106,4816,27,64,12,81,0
107,107,4814,23,66,13,84,0
108,108,4813,21,65,12,89,0
109,109,4806,25,66,12,91,0
110,110,4802,28,64,13,93,0
111,111,4798,27,65,12,98,0
112,112,4795,25,66,14,100,0
113,113,4792,25,68,15,100,0
114,114,4790,25,69,16,100,0
115,115,4788,23,72,16,101,0
116,116,4785,22,75,17,101,0
117,117,4785,18,79,16,102,0
118,118,4782,19,77,17,105,0
119,119,4780,20,78,17,105,0
120,120,4778,21,77,17,107,0
121,121,4768,28,78,16,110,0
122,122,4767,26,79,16,112,0
123,123,4763,27,78,18,114,0
124,124,4761,25,81,17,116,0
125,125,4756,27,82,19,116,0
126,126,4750,30,84,20,116,0
127,127,4747,27,87,20,119,0
128,128,4743,30,83,18,126,0
129,129,4741,28,87,18,126,0
130,130,4738,29,85,17,131,0
131,131,4733,31,85,19,132,0
132,132,4732,30,87,19,132,0
133,133,4730,29,86,19,136,0
134,134,4727,29,87,18,139,0
135,135,4724,31,84,18,143,0
136,136,4718,27,91,18,146,0
137,137,4715,29,88,20,148,0
138,138,4715,27,89,19,150,0
139,139,4711,27,92,20,150,0
140,140,4706,27,93,23,151,0
141,141,4703,30,89,24,154,0
142,142,4697,33,90,24,156,0
143,143,4694,30,91,22,163,0
144,144,4691,31,89,22,167,0
145,145,4684,34,88,24,170,0
146,146,4680,33,91,24,172,0
147,147,4670,39,92,25,174,0
148,148,4661,43,96,24,176,0
149,149,4659,44,93,26,178,0
150,150,4654,46,92,27,181,0
151,151,4652,43,93,30,182,0
152,152,4650,40,97,31,182,0
153,153,4645,43,98,30,184,0
154,154,4639,45,100,30,186,0
155,155,4634,45,105,28,188,0
156,156,4623,51,107,29,190,0
157,157,4619,55,104,30,192,0
158,158,4616,50,106,33,195,0
159,159,4608,57,104,32,199,0
160,160,4604,50,111,34,201,0
161,161,4602,46,111,34,207,0
162,162,4600,44,112,33,211,0
163,163,4596,45,111,35,213,0
164,164,4590,46,112,36,216,0
165,165,4584,49,109,38,220,0
166,166,4582,48,110,38,222,0
167,167,4577,51,107,39,226,0
168,168,4563,58,108,43,228,0
169,169,4557,58,111,43,231,0
170,170,4556,50,118,43,233,0
171,171,4548,54,114,43,241,0
172,172,4535,60,119,44,242,0
173,173,4528,58,124,45,245,0
174,174,4519,62,123,48,248,0
175,175,4518,55,125,50,252,0
176,176,4515,54,127,51,253,0
177,177,4507,54,130,51,258,0
178,178,4503,53,132,50,262,0
179,179,4498,53,136,49,264,0
180,180,4490,53,139,48,270,0
181,181,4485,56,137,48,274,0
182,182,4476,56,140,47,281,0
183,183,4473,51,144,47,285,0
184,184,4469,48,148,44,291,0
185,185,4466,43,154,41,296,0
186,186,4459,47,150,39,305,0
187,187,4456,43,148,41,312,0
188,188,4449,40,150,42,319,0
189,189,4440,46,143,45,326,0
190,190,4435,50,142,46,327,0
191,191,4429,46,147,48,330,0
192,192,4424,44,152,50,330,0
193,193,4411,51,153,50,335,0
194,194,4402,51,158,50,339,0
195,195,4395,51,159,51,344,0
196,196,4387,56,152,52,353,0
197,197,4380,59,153,52,356,0
198,198,4373,61,157,50,359,0
199,199,4363,61,162,48,366,0
200,200,4356,57,168,50,369,0
201,201,4348,58,166,51,377,0
202,202,4346,54,168,49,383,0
203,203,4335,57,173,50,385,0
204,204,4322,60,179,49,390,0
205,205,4316,58,183,48,395,0
206,206,4305,56,189,50,400,0
207,207,4301,55,192,48,404,0
208,208,4291,58,191,50,410,0
209,209,4283,61,188,53,415,0
210,210,4271,63,191,54,421,0
211,211,4261,65,194,54,426,0
212,212,4253,65,201,54,427,0
213,213,4244,67,200,55,434,0
214,214,4235,67,205,55,438,0
215,215,4230,67,203,57,443,0
216,216,4223,63,205,58,451,0
217,217,4214,63,207,58,458,0
218,218,4207,63,208,57,465,0
219,219,4199,61,210,59,471,0
220,220,4189,65,206,65,475,0
221,221,4177,69,209,64,481,0
222,222,4168,69,214,65,484,0
223,223,4156,73,216,64,491,0
224,224,4148,73,221,63,495,0
225,225,4140,74,216,63,507,0
226,226,4122,83,221,63,511,0
227,227,4109,86,227,62,516,0
228,228,4099,90,223,65,523,0
229,229,4092,90,226,65,527,0
230,230,4078,92,230,65,535,0
231,231,4066,95,229,67,543,0
232,232,4056,89,237,66,552,0
233,233,4041,91,245,65,558,0
234,234,4028,97,245,68,562,0
235,235,4018,96,251,67,568,0
236,236,4008,93,255,68,576,0
237,237,3992,99,259,70,580,0
238,238,3980,97,267,69,587,0
239,239,3967,96,268,70,599,0
240,240,3959,94,268,71,608,0
241,241,3953,95,263,71,618,0
242,242,3944,93,264,75,624,0
243,243,3932,90,271,74,633,0
244,244,3918,100,270,74,638,0
245,245,3907,99,276,79,639,0
246,246,3893,105,273,82,647,0
247,247,3880,109,277,78,656,0
248,248,3874,109,272,79,666,0
249,249,3859,104,284,81,672,0
250,250,3847,105,280,86,682,0
251,251,3833,111,280,87,689,0
252,252,3817,117,280,85,701,0
253,253,3806,119,281,83,711,0
254,254,3802,104,292,82,720,0
255,255,3787,113,287,83,730,0
256,256,3772,111,291,81,745,0
257,257,3758,107,306,83,746,0
258,258,3748,109,307,80,756,0
259,259,3729,116,311,82,762,0
260,260,3716,113,319,82,770,0
261,261,3698,121,320,81,780,0
262,262,3689,119,321,79,792,0
263,263,3669,127,319,83,802,0
264,264,3661,125,322,83,809,0
265,265,3652,119,328,86,815,0
266,266,3638,120,336,86,820,0
267,267,3627,119,330,91,833,0
268,268,3615,116,329,97,843,0
269,269,3600,118,332,102,848,0
270,270,3584,126,333,98,859,0
271,271,3575,122,335,97,871,0
272,272,3562,118,344,100,876,0
273,273,3543,119,350,98,890,0
274,274,3531,115,350,103,901,0
275,275,3520,117,346,109,908,0
276,276,3506,114,350,109,921,0
277,277,3496,113,343,114,934,0
278,278,3485,111,340,116,948,0
279,279,3470,116,336,118,960,0
280,280,3453,123,332,119,973,0
281,281,3437,121,336,122,984,0
282,282,3430,113,340,125,992,0
283,283,3420,110,346,122,1002,0
284,284,3401,117,348,124,1010,0
285,285,3391,113,358,122,1016,0
286,286,3381,110,359,121,1029,0
287,287,3374,100,366,121,1039,0
288,288,3364,95,367,123,1051,0
289,289,3352,100,360,119,1069,0
290,290,3338,100,365,120,1077,0
291,291,3328,96,364,122,1090,0
292,292,3311,103,363,127,1096,0
293,293,3300,99,362,129,1110,0
294,294,3283,93,368,132,1124,0
295,295,3277,86,367,139,1131,0
296,296,3268,86,367,139,1140,0
297,297,3252,93,369,138,1148,0
298,298,3236,92,372,138,1162,0
299,299,3223,99,361,145,1171,1
