,day,susceptible,exposed,infected asymptomatic,infected symptomatic,recovered,dead
0,0,4990,0,10,0,0,0
1,1,4989,0,10,1,0,0
2,2,4989,0,10,1,0,0
3,3,4989,0,10,1,0,0
4,4,4989,0,10,1,0,0
5,5,4987,2,10,1,0,0
6,6,4986,2,11,1,0,0
7,7,4986,2,11,1,0,0
8,8,4986,2,10,2,0,0
9,9,4984,3,10,2,1,0
10,10,4983,4,10,2,1,0
11,11,4981,4,11,2,2,0
12,12,4981,3,12,2,2,0
13,13,4981,2,11,3,3,0
14,14,4981,2,11,2,4,0
15,15,4981,1,12,2,4,0
16,16,4981,1,12,2,4,0
17,17,4981,1,12,2,4,0
18,18,4981,1,12,2,4,0
19,19,4980,2,12,2,4,0
20,20,4980,1,13,2,4,0
21,21,4975,6,13,2,4,0
22,22,4975,6,12,2,5,0
23,23,4975,5,13,2,5,0
24,24,4974,5,13,2,6,0
25,25,4974,5,13,2,6,0
26,26,4973,5,14,2,6,0
27,27,4971,7,13,2,7,0
28,28,4971,7,13,2,7,0
29,29,4970,7,13,2,8,0
30,30,4970,7,13,2,8,0
31,31,4970,7,13,2,8,0
32,32,4970,7,13,2,8,0
33,33,4970,7,11,2,10,0
34,34,4969,4,15,2,10,0
35,35,4969,4,14,2,11,0
36,36,4969,4,13,3,11,0
37,37,4969,4,13,3,11,0
38,38,4969,3,14,3,11,0
39,39,4967,4,15,3,11,0
40,40,4965,5,16,2,12,0
41,41,4965,4,16,2,13,0
42,42,4959,10,15,2,14,0
43,43,4958,10,16,2,14,0
44,44,4958,9,17,2,14,0
45,45,4956,9,18,2,15,0
46,46,4955,7,20,3,15,0
47,47,4954,7,19,5,15,0
48,48,4953,7,20,5,15,0
49,49,4952,5,22,5,16,0
50,50,4950,7,21,6,16,0
51,51,4948,9,21,6,16,0
52,52,4946,11,20,6,17,0
53,53,4946,9,20,7,18,0
54,54,4945,8,22,7,18,0
55,55,4944,7,24,7,18,0
56,56,4941,10,22,7,20,0
57,57,4941,8,23,7,21,0
58,58,4941,7,23,7,22,0
59,59,4938,9,22,7,24,0
60,60,4937,8,23,8,24,0
61,61,4937,8,22,9,24,0
62,62,4937,6,23,9,25,0
63,63,4932,11,21,9,27,0
64,64,4931,10,21,11,27,0
65,65,4928,10,24,11,27,0
66,66,4926,10,25,9,30,0
67,67,4923,13,24,10,30,0
68,68,4918,15,23,12,32,0
69,69,4913,18,25,12,32,0
70,70,4913,16,27,12,32,0
71,71,4911,16,28,12,33,0
72,72,4910,13,32,12,33,0
73,73,4910,12,31,12,35,0
74,74,4907,12,33,12,36,0
75,75,4906,12,33,12,37,0
76,76,4904,14,30,14,38,0
77,77,4903,15,29,13,40,0
78,78,4902,12,32,14,40,0
79,79,4898,14,32,14,42,0
80,80,4895,15,34,14,42,0
81,81,4894,15,34,14,43,0
82,82,4892,12,39,14,43,0
83,83,4888,16,38,15,43,0
84,84,4882,19,36,16,47,0
85,85,4878,20,38,16,48,0
86,86,4877,17,40,15,51,0
87,87,4876,17,41,14,52,0
88,88,4875,15,43,13,54,0
89,89,4871,18,42,13,56,0
90,90,4870,17,42,13,58,0
91,91,4868,14,47,12,59,0
92,92,4862,19,47,11,61,0
93,93,4856,21,50,11,62,0
94,94,4854,23,50,11,62,0
95,95,4853,24,50,9,64,0
96,96,4851,21,52,9,67,0
97,97,4849,20,54,9,68,0
98,98,4848,19,54,9,70,0
99,99,4845,20,55,9,71,0
